,AC_POWER,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,datetime,real AC,loss_mae,Threshold,Anomaly,anomalies
1939,-0.18553679,26.317823,24.679308,0.0030007553,2020-06-05 07:45:00,222.6571429,222.84267968691387,200,1,222.6571429
1940,-0.99900097,27.612518,26.444792,0.0074878596,2020-06-05 08:00:00,260.3625,261.36150096654893,200,1,260.3625
1958,109.09388,28.641056,30.414186,0.09181451,2020-06-05 12:30:00,342.0857143,232.99183460029298,200,1,342.0857143
1959,183.84744,29.079233,32.81792,0.14916478,2020-06-05 12:45:00,494.0,310.1525573730469,200,1,494.0
2032,0.11727408,25.589655,23.772554,0.0013793969,2020-06-06 07:00:00,249.9857143,249.8684402168029,200,1,249.9857143
2033,-1.1405095,27.794718,26.70917,0.00829074,2020-06-06 07:15:00,302.7142857,303.85479518619843,200,1,302.7142857
2034,138.07959,28.822393,31.370403,0.11396814,2020-06-06 07:30:00,356.7,218.62041015625,200,1,356.7
2064,154.98256,28.92541,31.929941,0.12695637,2020-06-06 15:00:00,365.8,210.81744079589845,200,1,365.8
2131,-0.026276378,25.969336,24.237638,0.00214561,2020-06-07 07:45:00,225.4,225.42627637796105,200,1,225.4
2132,-1.0757198,27.712337,26.589138,0.007922311,2020-06-07 08:00:00,307.5714286,308.647148433374,200,1,307.5714286
2133,68.16358,28.374298,29.070879,0.06079145,2020-06-07 08:15:00,324.6625,256.4989181518555,200,1,324.6625
2134,70.453384,28.389566,29.145817,0.06251887,2020-06-07 08:30:00,335.5571429,265.1037585005859,200,1,335.5571429
2149,827.2427,30.981564,51.188583,0.6746894,2020-06-07 12:15:00,167.2142857,660.02839008125,200,1,167.2142857
2150,749.19507,30.833563,48.892803,0.60745806,2020-06-07 12:30:00,0.0,749.195068359375,200,1,0.0
2151,736.6497,30.807978,48.525547,0.59674454,2020-06-07 12:45:00,0.0,736.6497192382812,200,1,0.0
2152,699.51044,30.729227,47.44124,0.56517875,2020-06-07 13:00:00,0.0,699.5104370117188,200,1,0.0
2153,704.5924,30.740265,47.589355,0.56948483,2020-06-07 13:15:00,0.0,704.5924072265625,200,1,0.0
2154,629.67706,30.568617,45.414127,0.50642914,2020-06-07 13:30:00,0.0,629.6770629882812,200,1,0.0
2155,499.1564,30.221502,41.66605,0.39869878,2020-06-07 13:45:00,111.4857143,387.67068828789064,200,1,111.4857143
2156,768.18475,30.871336,49.449635,0.6237239,2020-06-07 14:00:00,565.725,202.45975341796873,200,1,565.725
2157,505.95398,30.241182,41.859966,0.4042438,2020-06-07 14:15:00,0.0,505.9539794921875,200,1,0.0
2158,388.09427,29.872847,38.517323,0.30910164,2020-06-07 14:30:00,0.0,388.0942687988281,200,1,0.0
2159,293.38574,29.53165,35.86038,0.23416583,2020-06-07 14:45:00,90.07142857,203.3143136175,200,1,90.07142857
2226,-0.0543108,26.035088,24.319887,0.0022957819,2020-06-08 07:30:00,230.6428571,230.697167898645,200,1,230.6428571
2227,113.65992,28.670027,30.564543,0.095294274,2020-06-08 07:45:00,369.575,255.91508026123046,200,1,369.575
2320,0.1981649,25.32603,23.459547,0.000947995,2020-06-09 07:00:00,208.725,208.5268351048231,200,1,208.725
2321,-0.5391517,26.948746,25.515017,0.004925185,2020-06-09 07:15:00,253.0428571,253.58200882815322,200,1,253.0428571
2322,0.6579723,27.866405,26.847092,0.009869733,2020-06-09 07:30:00,232.6375,231.9795277237892,200,1,232.6375
2323,-1.0690721,27.703785,26.576725,0.007884587,2020-06-09 07:45:00,233.2,234.2690721273422,200,1,233.2
